WRIST_0,THUMB_CMC_0,THUMB_MCP_0,THUMB_IP_0,THUMB_TIP_0,INDEX_FINGER_MCP_0,INDEX_FINGER_PIP_0,INDEX_FINGER_DIP_0,INDEX_FINGER_TIP_0,MIDDLE_FINGER_MCP_0,MIDDLE_FINGER_PIP_0,MIDDLE_FINGER_DIP_0,MIDDLE_FINGER_TIP_0,RING_FINGER_MCP_0,RING_FINGER_PIP_0,RING_FINGER_DIP_0,RING_FINGER_TIP_0,PINKY_MCP_0,PINKY_PIP_0,PINKY_DIP_0,PINKY_TIP_0,WRIST_1,THUMB_CMC_1,THUMB_MCP_1,THUMB_IP_1,THUMB_TIP_1,INDEX_FINGER_MCP_1,INDEX_FINGER_PIP_1,INDEX_FINGER_DIP_1,INDEX_FINGER_TIP_1,MIDDLE_FINGER_MCP_1,MIDDLE_FINGER_PIP_1,MIDDLE_FINGER_DIP_1,MIDDLE_FINGER_TIP_1,RING_FINGER_MCP_1,RING_FINGER_PIP_1,RING_FINGER_DIP_1,RING_FINGER_TIP_1,PINKY_MCP_1,PINKY_PIP_1,PINKY_DIP_1,PINKY_TIP_1,CLASS
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
"x: 0.14362188
y: 0.5780431
z: 2.9857e-05
","x: 0.22047979
y: 0.4967754
z: -0.045295555
","x: 0.31281358
y: 0.43940127
z: -0.12242068
","x: 0.3782488
y: 0.37826234
z: -0.19395159
","x: 0.42370546
y: 0.28874558
z: -0.2503403
","x: 0.28420186
y: 0.4227835
z: -0.27914765
","x: 0.41332746
y: 0.55496293
z: -0.37141728
","x: 0.38151407
y: 0.56684977
z: -0.36188263
","x: 0.34657645
y: 0.5383718
z: -0.3503892
","x: 0.22848597
y: 0.47541943
z: -0.30063936
","x: 0.37979198
y: 0.62625253
z: -0.3760787
","x: 0.346404
y: 0.6228443
z: -0.28742144
","x: 0.31601515
y: 0.5900457
z: -0.25453326
","x: 0.18069544
y: 0.5393181
z: -0.332188
","x: 0.3170455
y: 0.6685786
z: -0.3909912
","x: 0.29099447
y: 0.65983903
z: -0.2962363
","x: 0.26645023
y: 0.62349856
z: -0.24761736
","x: 0.1462341
y: 0.61149913
z: -0.37209105
","x: 0.2417364
y: 0.69632673
z: -0.4338665
","x: 0.23546532
y: 0.69830966
z: -0.4183952
","x: 0.2236168
y: 0.67765653
z: -0.41893986
","x: 0.8368506
y: 0.5657602
z: -9.071462e-05
","x: 0.769505
y: 0.49091396
z: -0.021724531
","x: 0.68580246
y: 0.4413701
z: -0.08495508
","x: 0.6161057
y: 0.4183362
z: -0.14336199
","x: 0.5613791
y: 0.3867846
z: -0.19532445
","x: 0.72559327
y: 0.4204392
z: -0.28475872
","x: 0.6265996
y: 0.46562946
z: -0.3976576
","x: 0.6176642
y: 0.5020545
z: -0.42547387
","x: 0.6240846
y: 0.51711535
z: -0.44409913
","x: 0.7850967
y: 0.47700828
z: -0.31201467
","x: 0.67775494
y: 0.53863966
z: -0.39713934
","x: 0.6564864
y: 0.57135415
z: -0.37737414
","x: 0.6464029
y: 0.575986
z: -0.37005466
","x: 0.83683646
y: 0.540141
z: -0.337891
","x: 0.7354527
y: 0.602525
z: -0.4247476
","x: 0.6956012
y: 0.6388725
z: -0.40273607
","x: 0.66752064
y: 0.6488341
z: -0.38533998
","x: 0.8738836
y: 0.6006357
z: -0.36262888
","x: 0.81583637
y: 0.65202236
z: -0.44891933
","x: 0.7688278
y: 0.6795885
z: -0.4688781
","x: 0.72476685
y: 0.68524915
z: -0.48340583
",A
